"lang"
{
    "Language"	    "german"
        "DOTA_Tooltip_Ability_item_air_void_water_Description"          "<h1>Passive: Aura</h1>INTELLEKT VON AURA: %int%<br>EXTR. SCHADEN VON AURA: %damage%<br>BEWEGLICHKEIT VON AURA: %agi%<br>AURA RADIUS: %aura_radius%"
        
        "DOTA_Tooltip_Ability_item_ice_fire_earth"         "Eiskufe"
        "DOTA_Tooltip_Ability_item_ice_fire_earth_Description"         "<h1>Passive: Frostangriff</h1>Indem du Gegner angreifst, verlangst du sie für %duration% Sekunden.<br><br>Verlangsamung:%slow%<br>Verlangsamungsangriff:%attack_slow%"
        "DOTA_Tooltip_Ability_item_ice_fire_earth_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_ice_fire_earth_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_ice_fire_earth_mana"         "+$mana"
        
        "DOTA_Tooltip_Ability_item_water_ice_fire"                     "Feuerstab"
        "DOTA_Tooltip_Ability_item_water_ice_fire_Description"         "<h1>Passive: Zauber Lifesteal</h1>Verleiht magischen Vampirismus, der Gesundheit für Schaden wiederherstellt, der durch Fähigkeiten zugefügt wurde. <br><br>Stellt Gesundheit in Höhe von %spell_lifesteal%%% des Schadens wieder her."
        "DOTA_Tooltip_Ability_item_water_ice_fire_int"                 "+$int"
        
        "DOTA_Tooltip_Ability_item_earth_shadow_life"                    "Lebensschild"
        "DOTA_Tooltip_Ability_item_earth_shadow_life_Description"        "<h1>Passive: Schadensblockierung</h1> Blockiert %block% Schaden."
        "DOTA_Tooltip_Ability_item_earth_shadow_life_regen"              "+$hp_regen"
        "DOTA_Tooltip_Ability_item_earth_shadow_life_hp"                 "+$health"
        
        "DOTA_Tooltip_Ability_item_air_earth_energy"                    "Energie Bogen"
        "DOTA_Tooltip_Ability_item_air_earth_energy_Description"        "<h1>Passive: MKB Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>EXTR. RÜSTUNG VON AURA: %armor%<br>AURA RADIUS: %aura_radius%<br><br>Jeder Angriff kann mit Wahrscheinlichkeit in %anti_miss%%% Pass-Through Evasion passieren."
        
        //############################################################################################################################################################################################################
        
        "DOTA_Tooltip_Ability_item_light_fire_earth_2"         "Feuerschwert 2"
        "DOTA_Tooltip_Ability_item_light_fire_earth_2_Description"         "<h1>Passive: Feuerangriff</h1>Angreifende Gegner setzen sie für 1 Sekunde in Brand."
        "DOTA_Tooltip_Ability_item_light_fire_earth_2_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_light_fire_earth_2_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_light_fire_earth_2_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_light_fire_earth_2_dps"         "BRANDSCHADEN PRO SEKUNDE:"
        
        "DOTA_Tooltip_Ability_item_light_life_earth_2"         "Speer des Lebens 2"
        "DOTA_Tooltip_Ability_item_light_life_earth_2_Description"         "<h1>Aktiviert: Wiederherstellen</h1>Stellt %heal% Gesundheit für alle Verbündeten wieder her."
        "DOTA_Tooltip_Ability_item_light_life_earth_2_regen"         "+$hp_regen"
        "DOTA_Tooltip_Ability_item_light_life_earth_2_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_light_life_earth_2_hp"         "+$health"
        
        "DOTA_Tooltip_Ability_item_air_earth_shadow_2"         "Erdspeer 2"
        "DOTA_Tooltip_Ability_item_air_earth_shadow_2_Description"         "<h1>Passive: Aura</h1>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %attack_speed%<br>EXTR. RÜSTUNG VON AURA: %armor%<br>AURA RADIUS: %aura_radius%."
        //"DOTA_Tooltip_Ability_item_air_earth_shadow_2_regen"         "EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_earth_shadow_2_armor"         "EXTR. RÜSTUNG VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_earth_shadow_2_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_air_life_void_2"         "Stein der Leere 2"
        "DOTA_Tooltip_Ability_item_air_life_void_2_Description"         "<h1>Passive: Aura</h1>ЛЕЧЕНИЕ ОТ АУРЫ: %regen%<br>РЕГЕНЕРАЦИЯ МАНЫ ОТ АУРЫ: %mana_regen%<br>УВОРОТЫ ОТ АУРЫ: %evasion%%%<br>РАДИУС АУРЫ: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_air_life_void_2_regen"         "KUR VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_2_mana_regen"         "%MANAREGENERATION VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_evasion"         "%DODGERS VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_2_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_air_fire_life_2"         "Feuerstein 2"
        "DOTA_Tooltip_Ability_item_air_fire_life_2_Description"         "<h1>Passive: Aura</h1>KUR VON AURA: %regen%<br>MANAREGENERATION VON AURA: %mana_regen%<br>DODGERS VON AURA: %evasion%%%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_air_fire_life_2_regen"         "KUR VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_fire_life_2_damage"         "EXTR. SCHADEN VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_fire_life_2_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_light_life_ice_2"         "Lebensstein 2"
        "DOTA_Tooltip_Ability_item_light_life_ice_2_Description"         ""
        "DOTA_Tooltip_Ability_item_light_life_ice_2_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_light_life_ice_2_regen"         "+$hp_regen"
        "DOTA_Tooltip_Ability_item_light_life_ice_2_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_light_life_ice_2_speed"         "+$move_speed"
        
        "DOTA_Tooltip_Ability_item_energy_fire_void_2"         "Leere Talisman 2"
        "DOTA_Tooltip_Ability_item_energy_fire_void_2_Description"         "<h1>Passive: Wurzel</h1>Angriffe immobilisieren Gegner für %duration% Sekunden."
        "DOTA_Tooltip_Ability_item_energy_fire_void_2_mana_regen"         "+$mana_regen"
        "DOTA_Tooltip_Ability_item_energy_fire_void_2_int"         "+$int"
        "DOTA_Tooltip_Ability_item_energy_fire_void_2_damage"         "+$damage"
        
        "DOTA_Tooltip_Ability_item_energy_shadow_water_2"         "Ring aus Wasser 2"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_2_Description"         ""
        "DOTA_Tooltip_Ability_item_energy_shadow_water_2_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_2_int"         "+$int"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_2_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_2_miss"         "%+$evasion"
        
        "DOTA_Tooltip_Ability_item_energy_earth_water_2"         "Energieschild 2"
        "DOTA_Tooltip_Ability_item_energy_earth_water_2_Description"         "<h1>Aktiviert: Schild</h1>Erzeugt einen Schild, der den erlittenen Schaden absorbiert.<br><br>MAX. SCHADENSABSORPTION: %damage_absorb%<br>DAUER: %duration%"
        "DOTA_Tooltip_Ability_item_energy_earth_water_2_all_stats"         "+ zu alle Attribute"
        //"DOTA_Tooltip_Ability_item_energy_earth_water_2_damage_absorb"         "MAX. SCHADENSABSORPTION:"
        //"DOTA_Tooltip_Ability_item_energy_earth_water_2_duration"         "DAUER:"
        
        "DOTA_Tooltip_Ability_item_energy_void_ice_2"         "Energie Axt 2"
        "DOTA_Tooltip_Ability_item_energy_void_ice_2_Description"         "<h1>Passive: Cooldown Reduzierung</h1>Verringert die Abklingzeit aller Fähigkeiten und Gegenstände um %cooldown%%."
        "DOTA_Tooltip_Ability_item_energy_void_ice_2_mana"         "+$mana"
        "DOTA_Tooltip_Ability_item_energy_void_ice_2_mana_regen"         "+$mana_regen"
        
        "DOTA_Tooltip_Ability_item_energy_light_air_2"         "Schild des Lichts 2"
        "DOTA_Tooltip_Ability_item_energy_light_air_2_Description"         "<h1>Passive: Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>INTELLEKT VON AURA: %int%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_energy_light_air_2_hp"         "EXTR. GESUNDHEIT VON AURA:"
        //"DOTA_Tooltip_Ability_item_energy_light_air_2_int"         "INTELLEKT VON AURA:"
        //"DOTA_Tooltip_Ability_item_energy_light_air_2_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_energy_life_fire_2"         "Feuerklingen 2"
        "DOTA_Tooltip_Ability_item_energy_life_fire_2_Description"         "<h1>Passive: Korruption</h1>Angriffe reduzieren die Zielrüstung um %min_armor%. Effekt dauert %duration% Sekunden."
        "DOTA_Tooltip_Ability_item_energy_life_fire_2_magic_res"         "%+$spell_resist"
        "DOTA_Tooltip_Ability_item_energy_life_fire_2_damage_per"         "%+$damage"
        
        "DOTA_Tooltip_Ability_item_fire_earth_water_2"         "Feuerhammer 2"
        "DOTA_Tooltip_Ability_item_fire_earth_water_2_Description"         "<h1>Passive: Pierce</h1>Jeder Angriff kann %bonus_chance_damage% zusätzlichen Schaden mit der Wahrscheinlichkeit %bonus_chance%% verursachen."
        "DOTA_Tooltip_Ability_item_fire_earth_water_2_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_fire_earth_water_2_str_agil"         "+$str"
        "DOTA_Tooltip_Ability_item_fire_earth_water_2_damage"         "+$damage"
        
        "DOTA_Tooltip_Ability_item_water_life_shadow_2"         "Wasserklingen 2"
        "DOTA_Tooltip_Ability_item_water_life_shadow_2_Description"         "<h1>Passive: Reflexion</h1>%otrash%% des erlittenen Schadens spiegeln sich im Angreifer wider."
        "DOTA_Tooltip_Ability_item_water_life_shadow_2_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_water_life_shadow_2_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_water_life_shadow_2_hp_regen"         "+$hp_regen"
        
        "DOTA_Tooltip_Ability_item_light_water_void_2"         "Stab des Lichtes 2"
        "DOTA_Tooltip_Ability_item_light_water_void_2_Description"         "<h1>Passive: Geist</h1> - NUR FÜR FERNHELDEN - Neben dir gibt es einen Geist, der Gegner im Umkreis von 750 angreift.<br>Geistschaden entspricht dem weißen Schaden des Besitzers."
        "DOTA_Tooltip_Ability_item_light_water_void_2_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_light_water_void_2_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_light_water_void_2_mana_regen"         "+$mana_regen"
        
        "DOTA_Tooltip_Ability_item_ice_air_water_2"         "Eisschild 2"
        "DOTA_Tooltip_Ability_item_ice_air_water_2_Description"         "<h1>Passive: Eisschild</h1>Verlangsamt angreifende Gegner.\n<h1>Passive: Aura</h1>EXTR. RÜSTUNG VON AURA: %armor%<br>EXTR. MANA VON AURA: %mana%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_ice_air_water_2_armor"         "EXTR. RÜSTUNG VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_air_water_2_mana"         "EXTR. MANA VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_air_water_2_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_shadow_light_ice_2"         "Eisschwert 2"
        "DOTA_Tooltip_Ability_item_shadow_light_ice_2_Description"         "<h1>Aktiviert: Eis</h1>Verursacht %adamage% Schaden."
        "DOTA_Tooltip_Ability_item_shadow_light_ice_2_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_shadow_light_ice_2_mana"         "+$mana"
        "DOTA_Tooltip_Ability_item_shadow_light_ice_2_hp"         "+$health"
        
        "DOTA_Tooltip_Ability_item_ice_shadow_air_2"         "Ring aus Eis 2"
        "DOTA_Tooltip_Ability_item_ice_shadow_air_2_Description"         "<h1>Passive: Aura</h1>EXTR. MAGISCHER WIDERSTAND VON AURA: %magic_res%%%<br>EXTR. MANA VON AURA: %mana%<br>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %attack_speed%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_ice_shadow_air_2_magic_res"         "%EXTR. MAGISCHER WIDERSTAND VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_shadow_air_2_mana"          "EXTR. MANA VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_shadow_air_2_attack_speed"         "EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_shadow_air_2_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_void_ice_earth_2"         "Amulett des Vampirismus 2"
        "DOTA_Tooltip_Ability_item_void_ice_earth_2_Description"         "<h1>Passive: Lifesteal Aura</h1>VAMPIRISMUS VON AURA: %lifesteal_percent%%%<br>AURA RADIUS: %aura_radius%"
        "DOTA_Tooltip_Ability_item_void_ice_earth_2_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_void_ice_earth_2_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_void_ice_earth_2_hp_regen"         "+$hp_regen"
        //"DOTA_Tooltip_Ability_item_void_ice_earth_2_lifesteal_percent"         "%VAMPIRISMUS VON AURA:"
        //"DOTA_Tooltip_Ability_item_void_ice_earth_2_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_void_fire_shadow_2"         "Schattenschwert 2"
        "DOTA_Tooltip_Ability_item_void_fire_shadow_2_Description"         "<h1>Passive: Seelengebunden</h1> - NUR FÜR NAHKAMPFHELDEN - %otrash%%  Der verursachte Schaden wird auch dem Feind zugefügt, den du angreifst."
        "DOTA_Tooltip_Ability_item_void_fire_shadow_2_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_void_fire_shadow_2_str"         "+$str"
        "DOTA_Tooltip_Ability_item_void_fire_shadow_2_attack_speed"         "+$attack"
        
        "DOTA_Tooltip_Ability_item_ice_life_energy_2"                     "Eisscholle 2"
        "DOTA_Tooltip_ability_item_ice_life_energy_2_mcst"	           "%Reduzierter Verbrauch und Verlust von Mana:"
        "DOTA_Tooltip_Ability_item_ice_life_energy_2_mana"                "+$mana"
        "DOTA_Tooltip_Ability_item_ice_life_energy_2_regen"               "+$hp_regen"
        
        "DOTA_Tooltip_Ability_item_shadow_energy_light_2"                     "Energie Klinge 2"
        "DOTA_Tooltip_ability_item_shadow_energy_light_2_spell_amp"           "%+zu Fähigkeitsschaden"
        "DOTA_Tooltip_Ability_item_shadow_energy_light_2_int"                 "+$int"
        "DOTA_Tooltip_Ability_item_shadow_energy_light_2_armor"               "+$armor"
        
        "DOTA_Tooltip_Ability_item_void_shadow_water_2"                     "Geheimnisstein 2"
        "DOTA_Tooltip_Ability_item_void_shadow_water_2_Description"         "<h1>Passive: Aethereal Focus</h1> Erhöht den Einsatzbereich von Fähigkeiten und Gegenständen um %cast_range%."
        "DOTA_Tooltip_Ability_item_void_shadow_water_2_mana_regen"          "+$mana_regen"
        "DOTA_Tooltip_Ability_item_void_shadow_water_2_mana"                "+$mana"
        
        "DOTA_Tooltip_Ability_item_air_fire_light_2"                      "Leichte Armbrust 2"
        "DOTA_Tooltip_Ability_item_air_fire_light_2_Description"          "<h1>Passive: Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>EXTR. SCHADEN VON AURA: %damage%<br>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %speed%<br>AURA RADIUS: %aura_radius%"
        
        "DOTA_Tooltip_Ability_item_void_light_life_2"                     "Urne des Lebens 2"
        "DOTA_Tooltip_Ability_item_void_light_life_2_Description"         "<h1>Aktiviert: Heilen</h1>Stellt %hps% Gesundheit pro Sekunde für den ausgewählten Verbündeten wieder her. <br><br>Gültig %duration%"
        "DOTA_Tooltip_Ability_item_void_light_life_2_mana_regen"          "+$mana_regen"
        "DOTA_Tooltip_Ability_item_void_light_life_2_hp"                  "+$health"
        "DOTA_Tooltip_Ability_item_void_light_life_2_regen"               "+$hp_regen"
        
        "DOTA_Tooltip_Ability_item_air_void_water_2"                      "Wasser Stein 2"
        "DOTA_Tooltip_Ability_item_air_void_water_2_Description"          "<h1>Passive: Aura</h1>INTELLEKT VON AURA: %int%<br>EXTR. SCHADEN VON AURA: %damage%<br>BEWEGLICHKEIT VON AURA: %agi%<br>AURA RADIUS: %aura_radius%"
        
        "DOTA_Tooltip_Ability_item_ice_fire_earth_2"         "Eiskufe 2"
        "DOTA_Tooltip_Ability_item_ice_fire_earth_2_Description"         "<h1>Passive: Frostangriff</h1>Indem du Gegner angreifst, verlangst du sie für %duration% Sekunden.<br><br>Verlangsamung:%slow%<br>Verlangsamungsangriff:%attack_slow%"
        "DOTA_Tooltip_Ability_item_ice_fire_earth_2_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_ice_fire_earth_2_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_ice_fire_earth_2_mana"         "+$mana"
        
        "DOTA_Tooltip_Ability_item_water_ice_fire_2"                     "Feuerstab 2"
        "DOTA_Tooltip_Ability_item_water_ice_fire_2_Description"         "<h1>Passive: Zauber Lifesteal</h1>Verleiht magischen Vampirismus, der Gesundheit für Schaden wiederherstellt, der durch Fähigkeiten zugefügt wurde. <br><br>Stellt Gesundheit in Höhe von %spell_lifesteal%%% des Schadens wieder her."
        "DOTA_Tooltip_Ability_item_water_ice_fire_2_int"                 "+$int"
        
        "DOTA_Tooltip_Ability_item_earth_shadow_life_2"                    "Lebensschild 2"
        "DOTA_Tooltip_Ability_item_earth_shadow_life_2_Description"        "<h1>Passive: Schadensblockierung</h1> Blockiert %block% Schaden."
        "DOTA_Tooltip_Ability_item_earth_shadow_life_2_regen"              "+$hp_regen"
        "DOTA_Tooltip_Ability_item_earth_shadow_life_2_hp"                 "+$health"
        
        "DOTA_Tooltip_Ability_item_air_earth_energy_2"                    "Energie Bogen 2"
        "DOTA_Tooltip_Ability_item_air_earth_energy_2_Description"        "<h1>Passive: MKB Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>EXTR. RÜSTUNG VON AURA: %armor%<br>AURA RADIUS: %aura_radius%<br><br>Jeder Angriff kann mit Wahrscheinlichkeit in %anti_miss%%% Pass-Through Evasion passieren."
        
        //############################################################################################################################################################################################################
        
        "DOTA_Tooltip_Ability_item_light_fire_earth_3"         "Feuerschwert 3"
        "DOTA_Tooltip_Ability_item_light_fire_earth_3_Description"         "<h1>Passive: Feuerangriff</h1>Angreifende Gegner setzen sie für 1 Sekunde in Brand."
        "DOTA_Tooltip_Ability_item_light_fire_earth_3_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_light_fire_earth_3_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_light_fire_earth_3_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_light_fire_earth_3_dps"         "BRANDSCHADEN PRO SEKUNDE:"
        
        "DOTA_Tooltip_Ability_item_light_life_earth_3"         "Speer des Lebens 3"
        "DOTA_Tooltip_Ability_item_light_life_earth_3_Description"         "<h1>Aktiviert: Wiederherstellen</h1>Stellt %heal% Gesundheit für alle Verbündeten wieder her."
        "DOTA_Tooltip_Ability_item_light_life_earth_3_regen"         "+$hp_regen"
        "DOTA_Tooltip_Ability_item_light_life_earth_3_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_light_life_earth_3_hp"         "+$health"
        
        "DOTA_Tooltip_Ability_item_air_earth_shadow_3"         "Erdspeer 3"
        "DOTA_Tooltip_Ability_item_air_earth_shadow_3_Description"         "<h1>Passive: Aura</h1>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %attack_speed%<br>EXTR. RÜSTUNG VON AURA: %armor%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_air_earth_shadow_3_regen"         "EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_earth_shadow_3_armor"         "EXTR. RÜSTUNG VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_earth_shadow_3_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_air_life_void_3"         "Stein der Leere 3"
        "DOTA_Tooltip_Ability_item_air_life_void_3_Description"         "<h1>Passive: Aura</h1>KUR VON AURA: %regen%<br>MANAREGENERATION VON AURA: %mana_regen%<br>DODGERS VON AURA: %evasion%%%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_air_life_void_3_regen"         "KUR VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_3_mana_regen"         "%MANAREGENERATION VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_evasion"         "%DODGERS VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_life_void_3_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_air_fire_life_3"         "Feuerstein 3"
        "DOTA_Tooltip_Ability_item_air_fire_life_3_Description"         "<h1>Passive: Aura</h1>KUR VON AURA: %regen%<br>EXTR. SCHADEN VON AURA: %damage%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_air_fire_life_3_regen"         "KUR VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_fire_life_3_damage"         "EXTR. SCHADEN VON AURA:"
        //"DOTA_Tooltip_Ability_item_air_fire_life_3_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_light_life_ice_3"         "Lebensstein 3"
        "DOTA_Tooltip_Ability_item_light_life_ice_3_Description"         ""
        "DOTA_Tooltip_Ability_item_light_life_ice_3_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_light_life_ice_3_regen"         "+$hp_regen"
        "DOTA_Tooltip_Ability_item_light_life_ice_3_damage"         "+$damage"
        "DOTA_Tooltip_Ability_item_light_life_ice_3_speed"         "+$move_speed"
        
        "DOTA_Tooltip_Ability_item_energy_fire_void_3"         "Leere Talisman 3"
        "DOTA_Tooltip_Ability_item_energy_fire_void_3_Description"         "<h1>Passive: Wurzel</h1>Angriffe immobilisieren Gegner für %duration% Sekunden."
        "DOTA_Tooltip_Ability_item_energy_fire_void_3_mana_regen"         "+$mana_regen"
        "DOTA_Tooltip_Ability_item_energy_fire_void_3_int"         "+$int"
        "DOTA_Tooltip_Ability_item_energy_fire_void_3_damage"         "+$damage"
        
        "DOTA_Tooltip_Ability_item_energy_shadow_water_3"         "Ring aus Wasser 3"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_3_Description"         ""
        "DOTA_Tooltip_Ability_item_energy_shadow_water_3_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_3_int"         "+$int"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_3_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_energy_shadow_water_3_miss"         "%+$evasion"
        
        "DOTA_Tooltip_Ability_item_energy_earth_water_3"         "Energieschild 3"
        "DOTA_Tooltip_Ability_item_energy_earth_water_3_Description"         "<h1>Aktiviert: Schild</h1>Erzeugt einen Schild, der den erlittenen Schaden absorbiert.<br><br>MAX. SCHADENSABSORPTION: %damage_absorb%<br>DAUER: %duration%"
        "DOTA_Tooltip_Ability_item_energy_earth_water_3_all_stats"         "+ zu alle Attribute"
        //"DOTA_Tooltip_Ability_item_energy_earth_water_3_damage_absorb"         "MAX. SCHADENSABSORPTION:"
        //"DOTA_Tooltip_Ability_item_energy_earth_water_3_duration"         "DAUER:"
        
        "DOTA_Tooltip_Ability_item_energy_void_ice_3"         "Energie Axt 3"
        "DOTA_Tooltip_Ability_item_energy_void_ice_3_Description"         "<h1>Passive: Cooldown Reduzierung</h1>Verringert die Abklingzeit aller Fähigkeiten und Gegenstände um %cooldown%%."
        "DOTA_Tooltip_Ability_item_energy_void_ice_3_mana"         "+$mana"
        "DOTA_Tooltip_Ability_item_energy_void_ice_3_mana_regen"         "+$mana_regen"
        
        "DOTA_Tooltip_Ability_item_energy_light_air_3"         "Schild des Lichts 3"
        "DOTA_Tooltip_Ability_item_energy_light_air_3_Description"         "<h1>Passive: Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>INTELLEKT VON AURA: %int%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_energy_light_air_3_hp"         "EXTR. GESUNDHEIT VON AURA:"
        //"DOTA_Tooltip_Ability_item_energy_light_air_3_int"         "INTELLEKT VON AURA:"
        //"DOTA_Tooltip_Ability_item_energy_light_air_3_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_energy_life_fire_3"         "Feuerklingen 3"
        "DOTA_Tooltip_Ability_item_energy_life_fire_3_Description"         "<h1>assive: Korruption</h1>Angriffe reduzieren die Zielrüstung um %min_armor%. Effekt dauert %duration% Sekunden."
        "DOTA_Tooltip_Ability_item_energy_life_fire_3_magic_res"         "%+$spell_resist"
        "DOTA_Tooltip_Ability_item_energy_life_fire_3_damage_per"         "%+$damage"
        
        "DOTA_Tooltip_Ability_item_fire_earth_water_3"         "Feuerhammer 3"
        "DOTA_Tooltip_Ability_item_fire_earth_water_3_Description"         "<h1>Passive: Pierce</h1>Jeder Angriff kann %bonus_chance_damage% zusätzlichen Schaden mit der Wahrscheinlichkeit %bonus_chance%% verursachen."
        "DOTA_Tooltip_Ability_item_fire_earth_water_3_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_fire_earth_water_3_str_agil"         "+$str"
        "DOTA_Tooltip_Ability_item_fire_earth_water_3_damage"         "+$damage"
        
        "DOTA_Tooltip_Ability_item_water_life_shadow_3"         "Wasserklingen 3"
        "DOTA_Tooltip_Ability_item_water_life_shadow_3_Description"         "<h1>Passive: Reflexion</h1>%otrash%% des erlittenen Schadens spiegeln sich im Angreifer wider."
        "DOTA_Tooltip_Ability_item_water_life_shadow_3_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_water_life_shadow_3_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_water_life_shadow_3_hp_regen"         "+$hp_regen"
        
        "DOTA_Tooltip_Ability_item_light_water_void_3"         "Stab des Lichtes 3"
        "DOTA_Tooltip_Ability_item_light_water_void_3_Description"         "<h1>Passive: Geist</h1> - NUR FÜR FERNHELDEN - Neben dir gibt es einen Geist, der Gegner im Umkreis von 750 angreift.<br>Geistschaden entspricht dem weißen Schaden des Besitzers."
        "DOTA_Tooltip_Ability_item_light_water_void_3_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_light_water_void_3_agil"         "+$agi"
        "DOTA_Tooltip_Ability_item_light_water_void_3_mana_regen"         "+$mana_regen"
        
        "DOTA_Tooltip_Ability_item_ice_air_water_3"         "Eisschild 3"
        "DOTA_Tooltip_Ability_item_ice_air_water_3_Description"         "<h1>Passive: Eisschild</h1>Verlangsamt angreifende Gegner.\n<h1>Passive: Aura</h1>EXTR. RÜSTUNG VON AURA: %armor%<br>EXTR. MANA VON AURA: %mana%<br>AURA RADIUS: %aura_radius%"
        //"DOTA_Tooltip_Ability_item_ice_air_water_3_armor"         "EXTR. RÜSTUNG VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_air_water_3_mana"         EXTR. MANA VON AURA:"
        //"DOTA_Tooltip_Ability_item_ice_air_water_3_aura_radius"         "AURA RADIUS:"
        
        "DOTA_Tooltip_Ability_item_shadow_light_ice_3"         "Eisschwert 3"
        "DOTA_Tooltip_Ability_item_shadow_light_ice_3_Description"         "<h1>Aktiviert: Eis</h1>Verursacht %adamage% Schaden."
        "DOTA_Tooltip_Ability_item_shadow_light_ice_3_attack_speed"         "+$attack"
        "DOTA_Tooltip_Ability_item_shadow_light_ice_3_mana"         "+$mana"
